kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_num_transits
5531576,Kepler-240 b,CONFIRMED,0,0,22.80,316
6291653,Kepler-702 b,CONFIRMED,0,0,482.30,129
6392727,Kepler-703 b,CONFIRMED,0,0,99.50,297
6422070,Kepler-704 b,CONFIRMED,0,0,35.90,273
6428700,Kepler-242 b,CONFIRMED,0,0,54.40,162
6428700,Kepler-242 c,CONFIRMED,0,0,25.70,89
5792202,Kepler-27 d,CONFIRMED,0,0,24.80,200
5794379,Kepler-241 b,CONFIRMED,0,0,52.70,107
5794379,Kepler-241 c,CONFIRMED,0,0,51.70,38
5881688,Kepler-696 b,CONFIRMED,0,0,240.60,318
6022556,Kepler-697 b,CONFIRMED,0,0,116.10,279
6032497,Kepler-698 b,CONFIRMED,0,0,74.60,85
6061119,Kepler-699 b,CONFIRMED,0,0,748.10,50
6191521,Kepler-700 b,CONFIRMED,0,0,160.90,17
3531558,Kepler-467 b,CONFIRMED,0,0,62.00,53
6276477,Kepler-701 b,CONFIRMED,0,0,49.20,127
6863998,Kepler-709 b,CONFIRMED,0,0,62.60,82
6948054,Kepler-245 b,CONFIRMED,0,0,53.00,178
6948054,Kepler-245 d,CONFIRMED,0,0,45.50,39
6948054,Kepler-245 c,CONFIRMED,0,0,22.60,69
6435936,Kepler-705 b,CONFIRMED,0,0,27.40,24
6522242,Kepler-706 b,CONFIRMED,0,0,907.80,33
6587280,Kepler-243 b,CONFIRMED,0,0,59.40,181
9471974,Kepler-108 b,CONFIRMED,0,0,355.70,29
6587280,Kepler-243 c,CONFIRMED,0,0,10.70,54
6685526,Kepler-707 b,CONFIRMED,0,0,30.70,595
6784235,Kepler-708 b,CONFIRMED,0,0,64.80,430
6849310,Kepler-244 b,CONFIRMED,0,0,86.10,299
6849310,Kepler-244 d,CONFIRMED,0,0,37.80,64
6849310,Kepler-244 c,CONFIRMED,0,0,21.10,122
9471974,Kepler-108 c,CONFIRMED,0,0,139.30,7
7366258,Kepler-82 b,CONFIRMED,0,0,88.00,53
7366258,Kepler-82 c,CONFIRMED,0,0,155.50,28
7366258,Kepler-82 e,CONFIRMED,0,0,59.30,220
7366258,Kepler-82 d,CONFIRMED,0,0,41.40,515
7373451,Kepler-712 b,CONFIRMED,0,0,62.40,67
6948054,Kepler-245 e,CONFIRMED,0,0,30.50,391
6949607,Kepler-28 b,CONFIRMED,0,0,62.80,227
6949607,Kepler-28 c,CONFIRMED,0,0,51.80,145
7109675,Kepler-46 b,CONFIRMED,0,0,247.90,39
7109675,Kepler-46 d,CONFIRMED,0,0,29.20,194
7118364,Kepler-710 b,CONFIRMED,0,0,39.70,307
7134976,Kepler-246 b,CONFIRMED,0,0,60.80,295
7134976,Kepler-246 c,CONFIRMED,0,0,21.90,117
7135852,Kepler-1729 b,CONFIRMED,0,0,157.80,321
7287995,Kepler-81 b,CONFIRMED,0,0,87.20,226
7287995,Kepler-81 c,CONFIRMED,0,0,57.60,106
7287995,Kepler-81 d,CONFIRMED,0,0,14.90,67
7303253,Kepler-711 b,CONFIRMED,0,0,53.30,56
5094751,Kepler-109 b,CONFIRMED,0,0,125.60,214
